"facility_name","investor_name","capital_commitment","uncalled_capital","agent_lp_category","agent_advance_rate","agent_concentration_limit","parent","spv","high_quality","investor_type","institutional_or_hnw","region_location","investment_grade","ubs_lp_category","sp_rating","moodys_rating","fitch_rating","aum","nav","pension_assets","funding_ratio","pct_of_fund_commitments","called_capital","pct_of_fund_uncalled","pct_lp_called","ubs_concentration_limit","ubs_advance_rate","agent_borrowing_base","ubs_borrowing_base","notes"
"KKR Ascendant","MIT Investment Management Company","$100M","$30M","Non-Rated Included","75%","5%","Massachusetts Institute of Technology","FALSE","TRUE","Endowment","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$28B","$28B","","","5.13%","$70M","5.05%","70%","15%","90%","$22.25625M","$27M",""
"KKR Ascendant","Washington State Investment Board","$100M","$30M","Non-Rated Included","75%","5%","State of Washington","FALSE","TRUE","Public Pension","Institutional","North America","FALSE","Corp Pension > $5Bn Assets","","","","$209B","","$209B","118%","5.13%","$70M","5.05%","70%","25%","90%","$22.25625M","$27M",""
"KKR Ascendant","Virginia Retirement System","$100M","$30M","Non-Rated Included","75%","5%","Commonwealth of Virginia","FALSE","TRUE","Public Pension","Institutional","North America","FALSE","Corp Pension > $5Bn Assets","","","","$114B","","$114B","78%","5.13%","$70M","5.05%","70%","25%","90%","$22.25625M","$27M",""
"KKR Ascendant","Wellcome Trust","$75M","$22.5M","Non-Rated Included","75%","5%","Wellcome Trust Governing Council","FALSE","TRUE","Foundation","Institutional","Europe","FALSE","Unrated NAV > $1Bn","","","","$38B","$38B","","","3.85%","$52.5M","3.79%","70%","15%","90%","$16.875M","$20.25M",""
"KKR Ascendant","Shell Contributory Pension Fund","$50M","$15M","Designated Institutional","60%","5%","Shell plc","FALSE","TRUE","Corporate","Institutional","Europe","FALSE","Corp Pension > $1Bn Assets","","","","$3.6B","","$3.6B","112%","2.56%","$35M","2.53%","70%","20%","90%","$9M","$13.5M",""
"KKR Ascendant","Ridgeline Mutual Insurance","$25M","$16M","Designated Institutional","60%","5%","Ridgeline Mutual Holdings","FALSE","TRUE","Insurance Company","Institutional","North America","FALSE","Other Institutional","","","","$600M","$600M","","","1.28%","$9M","2.70%","36%","5%","50%","$9.6M","$8M",""
"Thoma Bravo Fund XV LP","California Public Employees' Retirement System","$300M","$120M","Rated Included","90%","5%","CalPERS Board","FALSE","TRUE","Public Pension","Institutional","North America","TRUE","Rated Investor","AA-","Aa2","AA-","$500B","","$500B","70%","25.64%","$180M","25.64%","60%","20%","90%","$21.06M","$84.24M",""
"Thoma Bravo Fund XV LP","Ontario Teachers' Pension Plan","$200M","$80M","Rated Included","90%","5%","Ontario Teachers' Pension Plan Board","FALSE","TRUE","Public Pension","Institutional","North America","TRUE","Rated Investor","AA-","Aa3","AA-","$220B","","$220B","105%","17.09%","$120M","17.09%","60%","20%","90%","$21.06M","$72M",""
"Thoma Bravo Fund XV LP","GIC Private Limited","$200M","$80M","Rated Included","90%","5%","Government of Singapore","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Asia-Pacific","TRUE","Rated Investor","AAA","Aaa","AAA","$770B","","","","17.09%","$120M","17.09%","60%","25%","90%","$21.06M","$72M",""
"Thoma Bravo Fund XV LP","APG Asset Management","$300M","$120M","Rated Included","90%","5%","ABP Pension Fund","FALSE","TRUE","Pension Fund","Institutional","Europe","TRUE","Rated Investor","AAA","Aaa","AAA","$700B","","$700B","100%","25.64%","$180M","25.64%","60%","25%","90%","$21.06M","$105.3M",""
"Thoma Bravo Fund XV LP","Yale University Endowment","$100M","$40M","Non-Rated Included","75%","5%","Yale University","FALSE","TRUE","Endowment","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$41B","$41B","","","8.55%","$60M","8.55%","60%","15%","90%","$17.55M","$36M",""
"Thoma Bravo Fund XV LP","Emory University","$50M","$20M","Non-Rated Included","75%","5%","Emory University Board of Trustees","FALSE","TRUE","Endowment","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$11B","$11B","","","4.27%","$30M","4.27%","60%","15%","90%","$15M","$18M",""
"Thoma Bravo Fund XV LP","Meridian Offshore Feeder Ltd","$20M","$8M","Ineligible Investor","0%","0%","Meridian Capital Partners","TRUE","FALSE","Other Institutional","Institutional","Other","FALSE","Excluded","","","","$1.2B","","","","1.71%","$12M","1.71%","60%","0%","0%","","","Non-permitted jurisdiction - exercises the Excluded tier."
"Brookfield Strat RE IV","CDPQ","$250M","$75M","Rated Included","90%","5%","Government of Quebec","FALSE","TRUE","Public Pension","Institutional","North America","TRUE","Rated Investor","AA+","Aa1","AA+","$390B","","$390B","115%","20.75%","$175M","19.06%","70%","20%","90%","$17.7075M","$67.5M",""
"Brookfield Strat RE IV","Abu Dhabi Investment Authority","$300M","$90M","Rated Included","90%","5%","Abu Dhabi Investment Council","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Middle East","TRUE","Rated Investor","AA","Aa2","AA","$800B","","","","24.90%","$210M","22.87%","70%","20%","90%","$17.7075M","$70.83M",""
"Brookfield Strat RE IV","Future Fund","$150M","$45M","Rated Included","90%","5%","Commonwealth of Australia","FALSE","TRUE","Sovereign Wealth Fund","Institutional","Asia-Pacific","TRUE","Rated Investor","AAA","Aaa","AAA","$175B","","","","12.45%","$105M","11.44%","70%","25%","90%","$17.7075M","$40.5M",""
"Brookfield Strat RE IV","Allianz Capital Partners","$200M","$60M","Rated Included","90%","5%","Allianz SE","FALSE","TRUE","Insurance Company","Institutional","Europe","TRUE","Rated Investor","AA","Aa3","AA","$900B","","","","16.60%","$140M","15.25%","70%","20%","90%","$17.7075M","$54M",""
"Brookfield Strat RE IV","Bill & Melinda Gates Foundation Trust","$100M","$30M","Non-Rated Included","75%","5%","Bill & Melinda Gates Foundation","FALSE","TRUE","Foundation","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$67B","$67B","","","8.30%","$70M","7.62%","70%","15%","90%","$14.75625M","$27M",""
"Brookfield Strat RE IV","Wellcome Trust","$75M","$22.5M","Non-Rated Included","75%","5%","Wellcome Trust Governing Council","FALSE","TRUE","Foundation","Institutional","Europe","FALSE","Unrated NAV > $1Bn","","","","$38B","$38B","","","6.22%","$52.5M","5.72%","70%","15%","90%","$14.75625M","$20.25M",""
"Brookfield Strat RE IV","Emory University","$50M","$15M","Non-Rated Included","75%","5%","Emory University Board of Trustees","FALSE","TRUE","Endowment","Institutional","North America","FALSE","Unrated NAV > $1Bn","","","","$11B","$11B","","","4.15%","$35M","3.81%","70%","15%","90%","$11.25M","$13.5M",""
"Brookfield Strat RE IV","Hamilton Lane Private Markets","$80M","$56M","Designated Institutional","60%","5%","Hamilton Lane Inc.","FALSE","TRUE","Fund of Funds","Institutional","North America","FALSE","FoF & Other > $10Bn AUM","","","","$120B","","","","6.64%","$24M","14.23%","30%","10%","65%","$11.805M","$25.5775M",""
